Region,Source,Year,Data,Unit
MB,Renewables,2009,33913.566,GWh
MB,Renewables,2010,33612.118,GWh
MB,Renewables,2011,34953.192,GWh
MB,Renewables,2012,33100.8599,GWh
MB,Renewables,2013,36246.8365,GWh
MB,Renewables,2014,35450.8665,GWh
MB,Renewables,2015,35599.47086,GWh
ON,Renewables,2005,36757.113,GWh
ON,Renewables,2006,37428.974,GWh
ON,Renewables,2007,36060.62,GWh
ON,Renewables,2008,43684.044,GWh
ON,Renewables,2009,43148.8658,GWh
ON,Renewables,2010,36800.359,GWh
ON,Renewables,2011,40411.7342,GWh
ON,Renewables,2012,40571.6555,GWh
ON,Renewables,2013,46010.7375,GWh
ON,Renewables,2014,50777.6778,GWh
ON,Renewables,2015,54399.5837,GWh
QC,Renewables,2005,174418.235,GWh
QC,Renewables,2006,173656.117,GWh
QC,Renewables,2007,182362.757,GWh
QC,Renewables,2008,188895.245,GWh
QC,Renewables,2009,191294.842,GWh
QC,Renewables,2010,179801.359,GWh
QC,Renewables,2011,192180.867,GWh
QC,Renewables,2012,195766.73,GWh
QC,Renewables,2013,208865.144,GWh
QC,Renewables,2014,205581.367,GWh
QC,Renewables,2015,208658.969,GWh
NB,Renewables,2005,4528.332,GWh
NB,Renewables,2006,4383.625,GWh
NB,Renewables,2007,3455.981,GWh
NB,Renewables,2008,4215.113,GWh
NB,Renewables,2009,3905.76,GWh
NB,Renewables,2010,4291.477,GWh
NB,Renewables,2011,5099.261,GWh
NB,Renewables,2012,4164.233,GWh
NB,Renewables,2013,4687.583,GWh
NB,Renewables,2014,4354.964,GWh
NB,Renewables,2015,4070.39984,GWh
NS,Renewables,2005,1478.6145,GWh
NS,Renewables,2006,1446.7565,GWh
NS,Renewables,2007,1396.8515,GWh
NS,Renewables,2008,1565.8075,GWh
NS,Renewables,2009,1471.4961,GWh
NS,Renewables,2010,1771.8251,GWh
NS,Renewables,2011,2256.2223,GWh
NS,Renewables,2012,2036.925,GWh
NS,Renewables,2013,2100.2631,GWh
